time,q_river
2012-07-10,301.98203
2012-07-11,259.0537
2012-07-12,242.7169
2012-07-13,269.7937
2012-07-14,347.96133
2012-07-15,387.52344
2012-07-16,320.84946
2012-07-17,268.30432
2012-07-18,240.2748
2012-07-19,263.33075
2012-07-20,302.34982
2012-07-21,309.7535
2012-07-22,323.82864
2012-07-23,270.95157
2012-07-24,403.94955
2012-07-25,513.8003
2012-07-26,394.56012
2012-07-27,289.707
2012-07-28,332.92972
2012-07-29,407.5001
2012-07-30,383.0804
2012-07-31,360.53342
2012-08-01,326.20468
2012-08-02,278.7002
2012-08-03,267.33765
2012-08-04,304.5121
2012-08-05,304.1869
2012-08-06,246.18034
2012-08-07,301.26294
2012-08-08,390.9449
2012-08-09,416.4951
2012-08-10,346.81567
2012-08-11,280.55988
2012-08-12,385.61343
2012-08-13,444.2317
2012-08-14,384.9548
2012-08-15,458.4783
2012-08-16,463.33853
2012-08-17,369.15588
2012-08-18,308.97476
2012-08-19,271.73462
2012-08-20,232.77989
2012-08-21,246.4917
2012-08-22,327.29935
2012-08-23,367.47736
2012-08-24,406.395
2012-08-25,399.68774
2012-08-26,296.80975
2012-08-27,241.56462
2012-08-28,221.18233
2012-08-29,207.19966
2012-08-30,208.63979
2012-08-31,197.06282
2012-09-01,218.66003
2012-09-02,242.00182
2012-09-03,223.32585
2012-09-04,218.72328
2012-09-05,252.66188
2012-09-06,286.6458
2012-09-07,269.63223
2012-09-08,249.77367
2012-09-09,206.16565
2012-09-10,169.20631
2012-09-11,150.62402
2012-09-12,150.01295
2012-09-13,244.69571
2012-09-14,345.90414
2012-09-15,293.99423
2012-09-16,224.18007
2012-09-17,186.51341
2012-09-18,176.73222
2012-09-19,207.54707
2012-09-20,209.85367
2012-09-21,199.31715
2012-09-22,227.96643
2012-09-23,217.42654
2012-09-24,210.1821
2012-09-25,227.44363
2012-09-26,234.61781
2012-09-27,203.97964
2012-09-28,167.21257
2012-09-29,148.1686
2012-09-30,140.90952
2012-10-01,174.80215
2012-10-02,170.94247
2012-10-03,178.83594
2012-10-04,216.14284
2012-10-05,222.90504
2012-10-06,235.61214
2012-10-07,508.09012
2012-10-08,672.144
2012-10-09,461.04657
2012-10-10,330.59644
2012-10-11,304.13065
2012-10-12,287.48645
2012-10-13,273.38315
2012-10-14,256.007
2012-10-15,265.52304
2012-10-16,272.21606
2012-10-17,267.522
2012-10-18,277.6793
2012-10-19,362.1104
2012-10-20,630.3377
2012-10-21,621.7649
2012-10-22,429.93088
2012-10-23,317.89655
2012-10-24,247.70659
2012-10-25,214.02309
2012-10-26,202.673
2012-10-27,161.48071
2012-10-28,152.41986
2012-10-29,144.50958
2012-10-30,122.57646
2012-10-31,152.53003
2012-11-01,235.47691
2012-11-02,320.23236
2012-11-03,293.55496
2012-11-04,208.92004
2012-11-05,173.31389
2012-11-06,177.24883
2012-11-07,203.31909
2012-11-08,221.48007
2012-11-09,202.06302
2012-11-10,165.11136
2012-11-11,169.69824
2012-11-12,205.71786
2012-11-13,203.3979
2012-11-14,159.57051
2012-11-15,120.57473
2012-11-16,110.2797
2012-11-17,134.98567
2012-11-18,198.79637
2012-11-19,298.40045
2012-11-20,273.03644
2012-11-21,192.60832
2012-11-22,136.60219
2012-11-23,121.179085
2012-11-24,238.60173
2012-11-25,219.41351
2012-11-26,168.38599
2012-11-27,236.05746
2012-11-28,315.08704
2012-11-29,252.05957
2012-11-30,181.08223
2012-12-01,155.59946
2012-12-02,140.73195
2012-12-03,116.63212
2012-12-04,123.08741
2012-12-05,140.78185
2012-12-06,126.140274
2012-12-07,127.07555
2012-12-08,112.73404
2012-12-09,92.6248
2012-12-10,85.42688
2012-12-11,124.40351
2012-12-12,181.69983
2012-12-13,241.97183
2012-12-14,301.02243
2012-12-15,288.5562
2012-12-16,246.82472
2012-12-17,176.83304
2012-12-18,144.94476
2012-12-19,161.78438
2012-12-20,162.12077
2012-12-21,257.60577
2012-12-22,337.703
2012-12-23,279.802
2012-12-24,181.89677
2012-12-25,132.60822
2012-12-26,111.92684
2012-12-27,94.48404
2012-12-28,85.96145
2012-12-29,87.05357
2012-12-30,81.724014
2012-12-31,79.96915
2013-01-01,119.308655
2013-01-02,166.1847
2013-01-03,155.46053
2013-01-04,105.439835
2013-01-05,77.001015
2013-01-06,66.03895
2013-01-07,61.69579
2013-01-08,60.13289
2013-01-09,53.42197
2013-01-10,48.326687
2013-01-11,50.636272
2013-01-12,50.037006
2013-01-13,43.461792
2013-01-14,38.25915
2013-01-15,36.352207
2013-01-16,35.49312
2013-01-17,34.17981
2013-01-18,32.226227
2013-01-19,30.979023
2013-01-20,30.027788
2013-01-21,29.234415
2013-01-22,28.453861
2013-01-23,27.223585
2013-01-24,26.371605
2013-01-25,26.198072
2013-01-26,26.879662
2013-01-27,29.335024
2013-01-28,28.75786
2013-01-29,25.47925
2013-01-30,23.023663
2013-01-31,21.93674
2013-02-01,21.285225
2013-02-02,20.820696
2013-02-03,20.631805
2013-02-04,20.566242
2013-02-05,20.45898
2013-02-06,20.733887
2013-02-07,22.742836
2013-02-08,22.926188
2013-02-09,20.832544
2013-02-10,27.345373
2013-02-11,120.19008
2013-02-12,193.9506
2013-02-13,135.06424
2013-02-14,104.82604
2013-02-15,71.54199
2013-02-16,47.06544
2013-02-17,35.547836
2013-02-18,33.909084
2013-02-19,57.07997
2013-02-20,90.52448
2013-02-21,82.54516
2013-02-22,62.94259
2013-02-23,48.378967
2013-02-24,39.10079
2013-02-25,34.336456
2013-02-26,31.271471
2013-02-27,28.862638
2013-02-28,27.422703
2013-03-01,27.451641
2013-03-02,32.22328
2013-03-03,64.9324
2013-03-04,81.10405
2013-03-05,93.589386
2013-03-06,96.48474
2013-03-07,96.10544
2013-03-08,85.214
2013-03-09,69.70585
2013-03-10,62.600243
2013-03-11,58.774033
